"Date","BTC_Close","BTC_High","BTC_Low","BTC_Open","BTC_Volume","BTC_PriceRange","NIFTY_Close","NIFTY_High","NIFTY_Low","NIFTY_Open","NIFTY_Volume","NIFTY_PriceRange","ETH_Close","ETH_High","ETH_Low","ETH_Open","ETH_Volume","ETH_PriceRange"
2019-11-28,531582.88,550598.42,530942.94,536833.42,1.36e+12,19655.4800000001,12151.15,12158.8,12099.95,12132.1,620500,58.8499999999985,10806.56,11155.29,10761.93,10902.83,5.23e+11,393.360000000001
2019-11-29,555296.82,556723.19,533797.73,534224.92,1.41e+12,22925.46,12056.05,12147.4,12017.4,12146.2,804400,130,11111.61,11222.1,10836.6,10858.65,5.37e+11,385.5
2019-12-02,525154.96,536116.43,518801.1,532474.14,1.23e+12,17315.3300000001,12048.2,12137.15,12023.7,12137.05,720900,113.449999999999,10690.97,10910.28,10586.8,10842.76,4.78e+11,323.480000000001
2019-12-03,524305.42,531375.77,517802.69,524579.75,1.06e+12,13573.08,11994.2,12068.6,11956.4,12067.65,605800,112.200000000001,10597.38,10765.98,10457.37,10676.3,4.44e+11,308.609999999999
2019-12-04,521856.41,542562.9,516019.6,526756.19,1.56e+12,26543.3,12043.2,12054.7,11935.3,11969.95,747200,119.400000000001,10559.97,10842.99,10434.26,10644.21,5.66e+11,408.73
2019-12-05,532405.79,553501.29,516992.48,518462.46,1.34e+12,36508.8100000001,12018.4,12081.2,11998.75,12071.25,562200,82.4500000000007,10668.33,10947.56,10397.43,10485.17,4.82e+11,550.129999999999
2019-12-06,538742.37,538742.37,527690.45,531858.35,1.29e+12,11051.92,11921.5,12057.05,11888.85,12047.35,609200,168.199999999999,10650.25,10684.23,10536.89,10664.67,4.61e+11,147.34
2019-12-09,527586.41,543069.36,525097.5,539056.17,1.27e+12,17971.86,11937.5,11981.95,11888.05,11939.1,599100,93.9000000000015,10566.5,10829.46,10523.45,10780.3,4.81e+11,306.009999999998
2019-12-10,516456.81,526810.13,514180.71,524902.11,1.29e+12,12629.42,11856.8,11953.2,11844.7,11950.5,650200,108.5,10379.14,10542.16,10282.7,10514.87,4.87e+11,259.459999999999
2019-12-11,512509.52,520088.35,510954.41,516753.83,1.16e+12,9133.94,11910.15,11923.2,11832.3,11867.35,997700,90.9000000000015,10197.6,10448.36,10157.65,10390.23,5e+11,290.710000000001
2019-12-12,512301.83,513964.35,506757.14,510434.89,1.34e+12,7207.20999999996,11971.8,12005.5,11934,11944.3,752600,71.5,10298.47,10308.91,10003.74,10157.84,5.58e+11,305.17
2019-12-13,512948.2,514632.89,509945.03,511182.62,1.21e+12,4687.85999999999,12086.7,12098.85,12023.6,12026.4,597700,75.25,10227.29,10291.66,10142.74,10277.45,5.13e+11,148.92
2019-12-16,490050.13,506922.78,488014.44,505685.31,1.43e+12,18908.34,12053.95,12134.65,12046.3,12131.35,437700,88.3500000000004,9445.04,10124.42,9363.23,10118.39,6.36e+11,761.190000000001
2019-12-17,470948.67,493895.71,467222.43,491572.37,1.59e+12,26673.28,12165,12182.75,12070.35,12082.45,499600,112.4,8695.13,9504.17,8609.4,9478.33,6.42e+11,894.77
2019-12-18,518217.48,521648.77,465749.59,473415.81,2.27e+12,55899.18,12221.65,12237.7,12163.45,12197,518900,74.25,9478.16,9499.66,8530.14,8735.01,8.45e+11,969.52
2019-12-19,511329.18,521534.57,499866.98,516635.43,1.84e+12,21667.59,12259.7,12268.35,12191.15,12223.4,623100,77.2000000000007,9180.49,9526.18,8942.72,9445.4,6.79e+11,583.460000000001
2019-12-20,514143.61,516928.81,504692.9,513418.59,1.61e+12,12235.91,12271.8,12293.9,12252.75,12266.45,810700,41.1499999999996,9192.43,9241.59,9044.24,9215.1,5.82e+11,197.35
2019-12-23,522426.17,543772.28,520335.5,533312.3,1.98e+12,23436.78,12262.75,12287.15,12213.25,12235.45,604800,73.8999999999996,9134.69,9569.19,9049.65,9396.97,6.83e+11,519.540000000001
2019-12-24,521442.65,536623.68,517668.24,523711.49,1.64e+12,18955.4400000001,12214.55,12283.7,12202.1,12269.25,470300,81.6000000000004,9190.73,9376.48,9065.75,9159.78,5.67e+11,310.73
2019-12-26,517875.69,528559.18,515115.67,520439.15,1.63e+12,13443.5100000001,12126.55,12221.55,12118.85,12211.85,520300,102.699999999999,9039.88,9364.47,8971.58,9048.83,6.15e+11,392.889999999999
2019-12-27,519785.49,525021.85,512644.46,516081.64,1.62e+12,12377.39,12245.8,12258.45,12157.9,12172.9,383800,100.550000000001,9070.44,9133.39,8899.76,9010.13,5.92e+11,233.629999999999
2019-12-30,520085.39,531625.91,518895.39,529161.95,1.63e+12,12730.52,12255.85,12286.45,12213.8,12274.9,411100,72.6500000000015,9458.49,9752.58,9380.91,9612.74,6.99e+11,371.67
2019-12-31,512982.73,523086.85,511284.01,520173.72,1.51e+12,11802.84,12168.45,12247.1,12151.8,12247.1,426900,95.3000000000011,9242.68,9536.61,9184.72,9456.71,6.37e+11,351.890000000001
2020-01-01,513198.2,517058.23,511399.92,512821.71,1.32e+12,5658.31,12182.5,12222.2,12165.3,12202.15,304100,56.9000000000015,9323.02,9467.95,9208.71,9239.53,5.66e+11,259.240000000002
2020-01-02,496143.03,512243.34,492577.56,511561.22,1.48e+12,19665.78,12282.2,12289.9,12195.25,12198.55,407700,94.6499999999996,9049.31,9291.49,9016.97,9291.49,5.71e+11,274.52
2020-01-03,524534.92,529450.49,493834.45,498792.98,2.01e+12,35616.04,12226.65,12265.6,12191.35,12261.1,428800,74.25,9581.87,9609.18,9033.28,9099.08,7.48e+11,575.9
2020-01-06,557293.89,558201.14,531476.01,531559.16,1.67e+12,26725.13,11993.05,12179.1,11974.2,12170.6,396500,204.9,10351.08,10352.81,9761.13,9777.33,6.52e+11,591.68
2020-01-07,586047.01,587089.6,557657.77,557690.4,2.07e+12,29431.83,12052.95,12152.15,12005.35,12079.1,447800,146.799999999999,10304.59,10409.24,10085.28,10359.73,6.65e+11,323.959999999999
2020-01-08,583042.93,605908.67,574160.87,588965.3,2.29e+12,31747.8,12025.35,12044.95,11929.6,11939.1,446000,115.35,10193.19,10595.11,9977.43,10354.08,6.77e+11,617.68
2020-01-09,562659.48,577172.13,560040.98,577172.13,1.72e+12,17131.15,12215.9,12224.05,12132.55,12153.15,477500,91.5,9924.77,10097.21,9728.9,10080.2,5.5e+11,368.309999999999
2020-01-10,581412.09,581412.09,550102.31,560890.58,2.04e+12,31309.7799999999,12256.8,12311.2,12213.2,12271,660600,98,10249.4,10263.89,9648.28,9893.66,6.47e+11,615.609999999999
2020-01-13,577855.04,581657.68,573279.03,581088.91,1.6e+12,8378.65000000002,12329.55,12337.75,12285.8,12296.7,501000,51.9500000000007,10233.31,10415.28,10139.69,10374.76,5.94e+11,275.59
